comment_id,address,proxy_wallet,timestamp,body,position_usd,is_whale,reaction_count,sentiment_compound,sentiment_label,sentiment_direction,price_before,price_after,price_change,abs_price_change,sentiment_aligned,market_id,market_volume,log_market_volume,is_convergence_period,holds_yes,sentiment_consistent_with_position,price_helped_holder
232,0x47e72a14b695174062396a3d7d91f109ce672e20,0xecdbd79566a25693b9971c48d7de84bc05f7da79,2023-09-19 00:55:15.642663+00:00,lol can get Bobby Kennedy shares for 1 cent on Insight. https://insightprediction.com/m/16502/who-will-win-the-2024-democratic-presidential-nomination,0.0,False,2,0.6124,positive,1,0.155,0.095,-0.06,0.06,-1.0,240383,86512.57,4.937079213650072,False,,,
786,0x559d120c5d2d9c5292360b65d95e191889e71469,0x820f91df691a735ec55ffa3bd037f7ae3a1e45b2,2023-10-09 12:21:59.852970+00:00,dfadsf,0.0,False,0,0.0,neutral,0,0.075,0.075,0.0,0.0,,240383,86512.57,4.937079213650072,True,,,
2906,0x33268a3bf8c8bd74357fcdec611bfb5c07ae3ebd,0xb804c766a4696237d1cc43ea94afa362ef0186aa,2023-11-08 08:34:28.865145+00:00,what will happen in case of Biden deaths before nomination?,0.0,False,0,0.0,neutral,0,0.075,0.07,-0.0049999999999999906,0.0049999999999999906,,240383,86512.57,4.937079213650072,True,,,
3020,0x40997f435728ecc6d2af4e50bacd091386017433,0x56b27be2362375f5c682b8158e3d0deabfcaf06f,2023-11-09 23:11:40.200133+00:00,you loose,0.0,False,1,-0.3182,negative,-1,0.07,0.075,0.0049999999999999906,0.0049999999999999906,-1.0,240383,86512.57,4.937079213650072,True,,,
3053,0x55bd7b98edc0053e8d3738f8e848df5bea814581,0x579a830f55239dde6999335f9b803dc9200e46d5,2023-11-10 08:22:32.910939+00:00,Where is DWAYNE JOHNSON?! Who tf is this Dean Phillips guy? Add a real contender!,0.0,False,3,0.3493,positive,1,0.07,0.075,0.0049999999999999906,0.0049999999999999906,1.0,240383,86512.57,4.937079213650072,True,,,
3836,0xe67c5b65d0b909288c795205ecbd21bef61e8232,0xf1bb700a67e3e8a45dc8160a92f4e0405f41bf09,2023-11-23 07:51:11.718215+00:00,"The closer we get to the election, the lower Sleepy Joe's prices go!",0.0,False,2,-0.3595,negative,-1,0.075,0.16,0.085,0.085,-1.0,240383,86512.57,4.937079213650072,True,,,
4292,0x40997f435728ecc6d2af4e50bacd091386017433,0x56b27be2362375f5c682b8158e3d0deabfcaf06f,2023-12-02 10:52:11.809455+00:00,asdsf,0.0,False,0,0.0,neutral,0,0.115,0.105,-0.010000000000000009,0.010000000000000009,,240383,86512.57,4.937079213650072,False,,,
4431,0xbf17fb655bcf105949b105c98b802d90ff7568a7,0x23c1a042f58e8a50cca4499eb6ac166df7cf02d0,2023-12-05 01:27:09.620802+00:00,"Opening their strange debate, Gavin Newsom told Ron DeSantis, ""There’s one thing in closing that we have in common, is neither of us will be the nominee for our party in 2024.""",0.0,False,16,0.2263,positive,1,0.105,0.175,0.06999999999999999,0.06999999999999999,1.0,240383,86512.57,4.937079213650072,False,,,
4655,0x40997f435728ecc6d2af4e50bacd091386017433,0x56b27be2362375f5c682b8158e3d0deabfcaf06f,2023-12-07 08:01:28.703146+00:00,Because Democrats are known for telling the truth,0.0,False,1,0.3182,positive,1,0.175,0.165,-0.009999999999999981,0.009999999999999981,-1.0,240383,86512.57,4.937079213650072,False,,,
5182,0x55bd7b98edc0053e8d3738f8e848df5bea814581,0x579a830f55239dde6999335f9b803dc9200e46d5,2023-12-17 16:28:52.830681+00:00,Can Joe really handle the rigors of a campaign so soon after his father's tragic death?,0.0,False,2,-0.7845,negative,-1,0.11,0.165,0.05500000000000001,0.05500000000000001,-1.0,240383,86512.57,4.937079213650072,False,,,
